n,correcta,r1,r2,r3
1,Juguetón,Reconfortante ,Irritado ,Aburrido
2,Molesto,Aterrorizado,Arrogante ,Irritado
3,Deseo,Desconcertada,Bromista,Convencida
4, Insistente,Bromista  ,Entretenido,Relajado
5,Preocupado ,Irritado,Sarcástico,Amistoso
6,Fantaseando,Horrorizado,Impaciente,Alarmado
7,Inquieto,Arrepentido,Amistoso,Desanimado
8,Abatido,Aliviado,Tímido,Emocionado
9,Preocupado ,Molesto , Hostil,Aterrorizado
10,Cauteloso,Insistente,Aburrido,Horrorizado
11,Arrepentido,Aterrorizado,Entretenido,Coqueto
12,Escéptico,Indiferente,Avergonzado,Desanimado
13,Anticipando,Decidido,Amenazante,Tímido
14,Acusador,Irritado,Decepcionado,Deprimido
15,Contemplativo,Desconcertado,Alentador,Entretenido
16,Reflexivo,Irritado  ,Alentador,Comprensivo
17,Dudoso,Cariñoso,Juguetón,Horrorizado
18,Decido,Entretenido,Horrorizado,aburrido
19,Tentativo,Arrogante,Sarcástico,Agradecido
20,Amistoso,Dominante,Horrorizado,Culpable
21,Fantaseando,Avergonzado,Aterrado,Confundido
22,Preocupado ,Agradecido ,Suplicante,Insistente
23,Desafiante,Satisfecho,Arrepentido,Curioso
24,Pensativo ,Irritado  ,Emocionado,Hostil
25,Interesado,Aterrado,Abatido,Incrédulo
26,Hostil,Alarmado,Tímido,Ansioso
27,Cauteloso,Bromista ,Tranquilizador,Arrogante
28,Interesado,Bromista ,Satisfecho,Cariñoso
29,Reflexivo,Impaciente ,horrorizado,Irritado
30,Coqueto,Decepcionado,Hostil,Agradecido
31,Seguro,Avergonzado,Bromista,Desanimado
32,serio,Desconcertado,Avergonzado,Alarmado
33,Preocupado ,Fantaseando,Culpable,Avergonzado
34,Desconfiado,Desconcertado,Horrorizado,Aterrorizado
35,Nervioso,Perplejo,Insistente,Contemplativo
36,Suspicaz,Avergonzado,Nervioso,Indeciso